from	to
20136	9859
20136	9797
20136	9799
20130	9863
20130	9852
20133	9033
20133	9098
20133	9034
20134	6317
20134	6306
20135	6325
20135	6326
20129	5396
20129	5448
20132	5398
20132	5415
20149	5574
20149	4474
20138	3611
20138	3612
20139	4512
20139	4627
20148	4499
20148	4612
20140	4708
20140	4751
20131	7249
20131	7164
20151	6517
20151	6498
20150	5928
20150	5926
20141	4887
20141	4855
20137	9441
20137	9426
20142	3860
20147	3862
20147	3839
20143	2011
20143	1970
20145	173
20144	104
20144	366
