id	long	lat	name
20001	7.4373001	51.5311313	Kanalhafen
20002	6.8401804	51.4381599	Sdhafen Mlheim
20003	6.7462905	51.215244	Hafenbecken B
20004	6.7417893	51.2154328	Hafenbecken C
20005	6.7393559	51.2184081	Hafenbecken Lausward II
20006	6.7392466	51.2217016	Hafenbecken Lausward I
20007	7.4354817	51.5269573	Kohlenhafen
20008	7.4336951	51.5289954	Marxhafen
20009	7.4324349	51.5310268	Mathieshafen
20010	7.4370351	51.5344822	Petroleumhafen
20011	7.4457954	51.5292625	Schmiedinghafen
20012	7.444762	51.5261883	Stadthafen
20013	7.4386448	51.5251222	Sdhafen
20014	6.981809	50.8459258	Hafenbecken I
20015	6.9825045	50.8485714	Hafenbecken II
20016	6.9844551	50.8498156	Hafenbecken III
20017	6.6535729	51.3617178	
20018	6.6538971	51.362077	
20019	6.653676	51.3619789	
20020	6.6583561	51.3658045	
20021	6.6626915	51.3677682	
20022	6.6631148	51.3679304	
20023	6.6629581	51.3678683	
20024	6.6791488	51.5320767	Hafen Orsoy
20025	6.7066677	51.2099185	Hafen Neuss
20026	6.6937977	51.2111099	
20027	6.9784456	50.9792384	Hafen K”ln-Niehl I
20028	6.6072655	51.6234429	Terminal Emmelsum
20029	6.974363	51.0224176	
20030	6.9676219	51.5053847	Hafen Bottrop
20031	8.6138333	52.3340558	
20032	7.1066328	51.698897	
20033	7.1047445	51.6981788	
20034	6.9548291	51.5022771	
20035	7.0987571	51.695208	Hafen Chemie Park Marl
20036	7.1110738	51.7002875	AV Hafen (Auguste Viktoria)
20037	7.7208821	51.6691022	
20038	8.490269400000000	52.3415931	Industriehafen Getmold
20039	8.984744	52.2987418	RegioPort Weser
20040	6.7397752	51.429446	Auáenhafen
20041	6.7430124	51.4529752	Bunkerhafen
20042	6.7558087	51.4518417	Becken A
20043	6.7621328	51.4524045	Becken B
20044	6.7704113	51.453667	Becken C
20045	7.4407191	51.5476636	Hardenberghafen
20046	7.4387498	51.5466864	Industriehafen
20047	8.9464322	52.3003208	Industriehafen I
20048	8.9502495	52.302177	Industriehafen II
20049	6.7830468	51.4533296	Kanalhafen
20050	7.4591117	51.6134129	Stummhafen
20051	6.9840868	50.8483558	Godorfer Hafen?
20052	6.9760114	50.9249984	Deutz
20053	7.6155998	51.6344358	Hafen Kraftwerk Bergkamen
20054	7.0004228	50.8235178	Shell Deutschland Oil GmbH, Werk Sd
20055	8.6140214	52.334966	Hafen Lbbecke
20056	7.7828677	51.679136	Stadthafen Hamm
20057	7.7698893	51.6776541	™lhafen Hamm
20058	6.7406186	51.4428728	Ruhrhafen Neuenkamp
20059	6.8357339	51.4865183	Hafen Zeche Concordia
20060	6.9768684	50.9241348	Deutzer Hafen
20061	6.984779	50.9733025	Hafenbecken 4
20062	6.9790391	50.9765159	Hafenbecken 3
20063	6.9752026	50.9788601	Hafenbecken 2
20064	6.971828	50.9811074	Hafenbecken 1
20065	6.7486387	51.4547488	Sdhafen
20066	6.7474146	51.4023256	Sdhafen
20067	6.7372274	51.3961418	Hafen Rheinhausen
20068	6.717189	51.3739556	Werkshafen HKM
20069	6.7389436	51.3985362	
20070	6.7486044	51.4070103	Kultushafen
20071	6.7330588	51.3991521	DKT Duisburg Kombiterminal GmbH, Chemielogistik
20072	6.6104595	51.6492575	
20073	6.6141173	51.6345983	Rhein-Lippe-Hafen
20074	7.4575353	51.6134529	Stummhafen
20075	6.8444583	51.4403145	Nordhafen
20076	6.7217388	51.51739	Sdhafen Walsum
20077	6.7289409	51.5069655	Werkshafen Schwelgern
20078	7.4955693	51.6023087	Stadthafen Lnen
20079	7.644242	51.9511394	Stadthafen 1
20080	7.0642001	51.5312407	Stadthafen
20081	7.6442404	51.9509647	Stadthafen 1
20082	8.9504057	52.3012489	Osthafen
20083	8.9011404	52.3001835	Westhafen
20084	8.9244992	52.3062324	Weserhafen
20085	8.922901100000000	52.3072615	Weserhafen
20086	6.6706256	51.3410774	Rheinhafen
20087	7.2104881	51.5604795	Stadthafen
20088	7.4925824	51.6026217	Stadthafen Lnen
20089	6.7385788	51.4294749	Auáenhafen
20090	6.7287546	51.4293579	Parallelhafen
20091	6.8384591	51.4399711	Nordhafen
20092	7.5020309	52.2950517	Kanalhafen
20093	6.6059172	51.6510299	Stadthafen Wesel (Schutzhafen)
20094	7.7632445	51.6751648	Westhafen
20095	7.149341	51.548633	Am Westhafen
20096	7.0726299	51.535997	Stadthafen
20097	6.8383699	51.4399141	Nordhafen
20098	7.7632447	51.6752153	Westhafen
20099	6.7007369	51.2099303	Hafenbecken 3
20100	6.7038149	51.2119783	Hafenbecken 4
20101	6.7095382	51.2151635	Hafenbecken 5
20102	7.0889925	50.7584617	Gewerbegebiet Rheindorfer Hafen
20103	6.2489899	51.8304689	Hafen Emmerich
20104	6.2589335	51.8288535	Hafen Emmerich
20105	6.9776298	50.9234644	Deutzer Hafen
20106	6.9075757	51.0624838	Hitdorfer Hafen
20107	7.0451947	51.5274555	Hafen der Ruhr Oel/BP Raffinerie Horst
20108	7.0898854	50.7589367	Hafen Bonn
20109	7.6251264	52.3152538	Hafen
20110	6.749102	51.4502688	Hafenkanal
20111	7.0040176	50.822491	Shell Deutschland Oil GmbH, Werk Sd, Hafen
20112	7.6415869	51.8937869	Hafen Hiltrup
20113	6.6065913	51.630202	Hafen Emmelsum
20114	7.0213984	51.6631429	Dorstener Hafen-Speditionsgesellschaft mbH
20115	7.6378886	51.9408226	Hafen Bscher
20116	7.1268269	51.5434532	NSG Hafen Grimberg
20117	6.7442806	51.4499247	Hafenkanal
20118	7.722983	51.6699263	Entladekran Hafen Gersteinwerk
20119	6.9800348	51.4993127	Hafenverwaltung
20120	7.6805996	52.2213525	Hafen
20121	7.1206786	51.5448151	Hafen Grimberg
20122	6.7115352	51.5307573	Hafen Walsum-Nord
20123	6.7009446	51.2106244	Hafen
20124	7.2862715	51.5788597	Hafen Rttgers
20125	7.1821658	51.5518457	Hafen Julia
20126	6.2503371	51.8313269	Hafen Emmerich
20127	6.6958018	51.1987871	Hafenbecken 1
20128	6.7352696	51.2178393	DCH - Dsseldorfer Container-Hafen
20129	6.752913	51.454489	DUSS-Terminal Duisburg Ruhrort Hafen
