	latS	longS			MTBF	σ(MTBF)	MTTR	σ(MTTR)	Availability
201	51.6293341	6.615408772	Schleuse Friedrichsfeld		45.58	63.01	3.64	11.49	0.9945
202	51.65013188	6.773930104	Schleuse Hünxe	Wesel-Datteln-Kanal	67.37	134.7	5.59	14.73	0,9941
203	51.6639359	7.003384512	Schleuse Dorsten		85.07	195.93	8.98	41.5	0.9909
204	51.72060154	7.240100973	Schleuse Flaesheim		101.1	134.44	4.88	13.32	0.9979
205	51.69213804	7.320124217	Schleuse Ahsen		88.9	198.9	14.08	63.72	0.9813
206	51.67036719	7.36033998	Schleuse Datteln		82.76	218.23	3.24	7.16	0.9986
207	51.45342332	6.774237168	Schleuse Meiderich		68.2	86.41	14.05	85.92	0.9408
208	51.48419789	6.817923325	Schleuse Oberhausen	Rhein-Herne-Kanal	72.44	202.41	20.15	68.9	0,9526
209	51.52447864	7.033700285							
210	51.5327337	7.055747509	Schleuse Gelsenkirchen		120.59	183.92	5.5	9.85	0.9981
211	51.54791753	7.160994623	Alte Schleuse Wanne-Eickel		103.5	136,55	2.6	7.68	0,9755
212	51.56519758	7.241561648	Schleuse Herne-Ost		172.82	245.13	13.32	44.65	0.9949
213	51.97870138	7.661674468	Schleuse Münster	Münster	172.82	245.13	13.32	44.65	0.9949
214	51.6853061	7.818921717	Wasserübergabe Hamm	Hamm	184.8	245.44	4.62	4.14	0.9756
215	51.61863736	7.333670384	Schleuse Heinrichenburg	Heinrichenburg	107.47	169.98	3.27	8.86	0.9705
