X	Y	NKNR	NKNAME
8.537361793	52.50408909	3417001	
8.57549753	52.5060075	3417002	
8.648891809	52.49867976	3417003	
8.632749724	52.51044923	3417004	
8.617303791	52.51980161	3417006	
8.624132671	52.50850449	3417007	
8.667597902	52.52034115	3418001	
7.595304366	52.46773094	3511001	
7.631395475	52.46810116	3511002	
7.658862592	52.45870939	3511003	
7.626721497	52.44800115	3511006	
7.620389765	52.44223508	3511007	
7.581555263	52.42777873	3511008	
7.628892545	52.44692472	3511009	
7.627919455	52.44349602	3511010	
7.724252864	52.40025591	3512001	
7.707294447	52.41608811	3512002	
7.668283066	52.41468839	3512003	
7.667946852	52.41747752	3512004	
8.309521381	52.43770588	3515002	
8.305925359	52.44323768	3515003	
8.310796101	52.44388594	3515004	
8.317119085	52.44693301	3515005	
8.321623061	52.45180844	3515006	
8.309872138	52.45793655	3515007	
8.322068562	52.45199314	3515008	
8.309983286	52.43743841	3515009	
8.453233216	52.40489084	3516001	
8.353086807	52.4495419	3516006	
8.345043733	52.44378039	3516007	
8.383973266	52.43851943	3516008	
8.4033605	52.43106852	3516009	
8.445754421	52.43226704	3516011	
8.465737128	52.43844177	3516012	
8.483286785	52.4526705	3516013	
8.491126635	52.46006989	3516014	
8.483094264	52.46014457	3516015	
8.455333359	52.46413333	3516016	
8.367422056	52.44462401	3516017	
8.366608629	52.44176198	3516018	
8.342750734	52.43943401	3516019	
8.506152247	52.41203557	3517001	
8.519961462	52.41720833	3517002	
8.615589008	52.4095769	3517005	
8.501647085	52.43769617	3517008	
8.578498637	52.44021105	3517009	
8.591758815	52.44231471	3517010	
8.610722017	52.43219691	3517013	
8.652696591	52.45020659	3517019	
8.656001325	52.45549493	3517020	
8.653574707	52.45822378	3517021	
8.531233992	52.46281074	3517024	
8.577547401	52.46492401	3517026	
8.593557008	52.45788888	3517027	
8.587635343	52.45669748	3517028	
8.618787424	52.45708094	3517029	
8.629572159	52.48907811	3517032	
8.57561515	52.49506586	3517033	
8.528471688	52.46589752	3517034	
8.548095888	52.43909458	3517035	
8.549715268	52.42634391	3517036	
8.595429294	52.44033493	3517039	
8.604043933	52.42775912	3517040	
8.597713188	52.41498158	3517041	
8.560962591	52.41228546	3517044	
8.613520835	52.4193841	3517045	
8.614878814	52.41956082	3517046	
8.623802319	52.42667417	3517047	
8.623316667	52.43523113	3517048	
8.665926432	52.41629434	3518002	
8.671044143	52.41708464	3518003	
8.705423801	52.41404368	3518004	
8.710586	52.46097894	3518006	
8.708018063	52.39894565	3518029	
8.891250393	52.40020404	3519001	
8.945562392	52.41456325	3519002	
8.971705786	52.42096649	3519003	
8.96739704	52.42685749	3519004	
8.949928368	52.41562823	3519006	
9.057592107	52.39995161	3520001	
9.02010348	52.4075108	3520002	
9.015720891	52.41245766	3520003	
9.020604109	52.41638856	3520004	
9.027341924	52.415936	3520005	
9.034814523	52.42112681	3520006	
9.063904672	52.41703828	3520008	
9.064868831	52.42146191	3520009	
9.110356796	52.42321061	3520010	
9.052009211	52.42520569	3520011	
9.03851006	52.42799144	3520012	
9.054744987	52.4298107	3520014	
9.094884933	52.44299006	3520015	
9.007751209	52.45750714	3520016	
9.041763483	52.44843569	3520017	
9.049796881	52.46475792	3520018	
9.090250378	52.47573926	3520019	
9.102496435	52.47448185	3520021	
9.117383356	52.46405008	3520023	
9.114661964	52.48545563	3520024	
9.064240779	52.4832606	3520025	
9.043015359	52.48772042	3520026	
9.06316666	52.49719926	3520027	
9.049100589	52.46368164	3520028	
9.011785906	52.4166594	3520029	
7.150066977	52.33829039	3608010	Nordhorn/Bad Bentheim
7.066470149	52.3246569	3608011	Gildehaus
7.04343859	52.31366196	3608012	GrenzÃ¼bergang Bad Bentheim
7.257896419	52.35661434	3609019	EmsbÃ¼ren
7.258600702	52.34130574	3609020	Kreuz SchÃ¼ttorf
7.257771899	52.32358334	3609021	SchÃ¼ttorf-Ost
7.247005889	52.34215394	3609022	SchÃ¼ttorf-Nord
7.451889576	52.33824303	3610001	
7.488336618	52.35208966	3610002	
7.382507485	52.30697377	3610003	
7.489895047	52.3041792	3610005	Rheine
7.430740051	52.32241957	3610006	Rheine-Nord
7.423807037	52.31368592	3610007	
7.427452329	52.31656859	3610008	
7.430784354	52.32270145	3610009	
7.339734855	52.34239032	3610169	Salzbergen
7.581670167	52.39416645	3611002	
7.587246365	52.30021269	3611004	
7.592227116	52.30057982	3611005	
7.599026131	52.30061436	3611006	
7.633475939	52.30977363	3611007	
7.603650573	52.31225435	3611009	
7.583638046	52.31220522	3611010	
7.54612671	52.30920923	3611011	
7.508868333	52.33000033	3611012	
7.507517713	52.33586698	3611013	
7.624130773	52.32811498	3611014	
7.643521785	52.34077942	3611015	
7.589766239	52.34864472	3611016	
7.613433943	52.37269775	3611018	
7.594983912	52.38160465	3611022	
7.60262168	52.38298533	3611023	
7.627837579	52.37132726	3611024	
7.609951181	52.38610521	3611025	
7.601887015	52.30132331	3611027	
7.596403245	52.30041743	3611028	
7.586571005	52.37651511	3611029	
7.69113089	52.30107659	3612001	
7.762959539	52.30983292	3612002	
7.784712693	52.3145878	3612003	
7.778650512	52.31850448	3612005	
7.768018226	52.32160374	3612006	
7.761711758	52.32372077	3612007	
7.674796419	52.3140753	3612008	
7.698195855	52.32310782	3612009	
7.749851048	52.33049735	3612010	
7.826613059	52.33688509	3612012	
7.694976185	52.3507385	3612015	
7.713639938	52.34770956	3612016	
7.72748802	52.35071264	3612017	
7.727204555	52.35142752	3612018	
7.793523593	52.35196574	3612019	
7.790472837	52.3574878	3612020	
7.771411796	52.35768615	3612021	
7.759287117	52.35966877	3612022	
7.71679907	52.3599246	3612023	
7.718647017	52.3703984	3612025	
7.718526965	52.36051384	3612026	
7.720606337	52.36964007	3612027	
7.716831866	52.37773236	3612028	
7.805345019	52.37199178	3612029	
7.753531628	52.39006034	3612030	
7.692334281	52.30007039	3612034	
7.668934461	52.31279333	3612036	
7.698907769	52.32276815	3612038	
7.69641041	52.34866669	3612039	
7.704917085	52.3701943	3612040	
7.794027174	52.31182841	3612041	
7.820756587	52.31167511	3612042	
7.991004622	52.30671151	3613002	
7.947745571	52.33781969	3613003	
7.902806638	52.37543053	3613004	
