from	to		
30108	30111		Rhein
30111	30051		
30051	30052		
30052	30027		
30027	30106		
30106	30025		
30025	30128		
30128	30086		
30086	30019		
30019	30020		
30020	30023		
30023	30068		
30068	30071		
30071	30066		
30066	30070		
30070	30090		
30090	30058		
30058	30110		
30110	30077		
30077	30076		
30076	30122		
30122	30024		
30024	30113		
30113	30073		
30073	30072		
30072	30126		
30039	30082		Mittellandkanal
30082	30084		
30084	30083		
30083	30055		
30055	30038		
30038	30109		
30109	30092		Dortmund-Ems-Kanal
30109	30120		
30092	30120		
30081	30115		
30115	30112		
30046	30001		
30206	30074		Dortmund-Hamm-Kanal
30074	30088		
30088	30053		
30053	30037		
30037	30094		
30094	30057		
30057	30056		
30112	30206		Rhein-Herne-Kanal
30087	30125		
30095	30116		
30116	30096		
30107	30030		
30030	30059		
30110	30058		
30058	30075		Ruhr
30113	30202		Schleusen_Weseln-Datteln-Kanal
30202	30203		
30204	30205		
30205	30206		
30208	30059		
30110	30207		
30207	30208		
30096	30210		
30210	30107		
30095	30211		
30211	30125		
30087	30212		
30212	30124		
30081	30213		
30213	30120		
30056	30214		
30203	30114		
30114	30035		
30204	30035		
30124	30215		
30215	30206		
30074	30215		
30046	30215		
30206	30124		
