id	long	lat	name
1	7.4373001	51.5311313	Kanalhafen
2	6.8401804	51.4381599	Sdhafen Mlheim
3	6.7462905	51.215244	Hafenbecken B
4	6.7417893	51.2154328	Hafenbecken C
5	6.7393559	51.2184081	Hafenbecken Lausward II
6	6.7392466	51.2217016	Hafenbecken Lausward I
7	7.4354817	51.5269573	Kohlenhafen
8	7.4336951	51.5289954	Marxhafen
9	7.4324349	51.5310268	Mathieshafen
10	7.4370351	51.5344822	Petroleumhafen
11	7.4457954	51.5292625	Schmiedinghafen
12	7.444762	51.5261883	Stadthafen
13	7.4386448	51.5251222	Sdhafen
14	6.981809	50.8459258	Hafenbecken I
15	6.9825045	50.8485714	Hafenbecken II
16	6.9844551	50.8498156	Hafenbecken III
17	6.6535729	51.3617178	
18	6.6538971	51.362077	
19	6.653676	51.3619789	
20	6.6583561	51.3658045	
21	6.6626915	51.3677682	
22	6.6631148	51.3679304	
23	6.6629581	51.3678683	
24	6.6791488	51.5320767	Hafen Orsoy
25	6.7066677	51.2099185	Hafen Neuss
26	6.6937977	51.2111099	
27	6.9784456	50.9792384	Hafen K”ln-Niehl I
28	6.6072655	51.6234429	Terminal Emmelsum
29	6.974363	51.0224176	
30	6.9676219	51.5053847	Hafen Bottrop
31	8.6138333	52.3340558	
32	7.1066328	51.698897	
33	7.1047445	51.6981788	
34	6.9548291	51.5022771	
35	7.0987571	51.695208	Hafen Chemie Park Marl
36	7.1110738	51.7002875	AV Hafen (Auguste Viktoria)
37	7.7208821	51.6691022	
38	8.490269400000000	52.3415931	Industriehafen Getmold
39	8.984744	52.2987418	RegioPort Weser
40	6.7397752	51.429446	Auáenhafen
41	6.7430124	51.4529752	Bunkerhafen
42	6.7558087	51.4518417	Becken A
43	6.7621328	51.4524045	Becken B
44	6.7704113	51.453667	Becken C
45	7.4407191	51.5476636	Hardenberghafen
46	7.4387498	51.5466864	Industriehafen
47	8.9464322	52.3003208	Industriehafen I
48	8.9502495	52.302177	Industriehafen II
49	6.7830468	51.4533296	Kanalhafen
50	7.4591117	51.6134129	Stummhafen
51	6.9840868	50.8483558	Godorfer Hafen?
52	6.9760114	50.9249984	Deutz
53	7.6155998	51.6344358	Hafen Kraftwerk Bergkamen
54	7.0004228	50.8235178	Shell Deutschland Oil GmbH, Werk Sd
55	8.6140214	52.334966	Hafen Lbbecke
56	7.7828677	51.679136	Stadthafen Hamm
57	7.7698893	51.6776541	™lhafen Hamm
58	6.7406186	51.4428728	Ruhrhafen Neuenkamp
59	6.8357339	51.4865183	Hafen Zeche Concordia
60	6.9768684	50.9241348	Deutzer Hafen
61	6.984779	50.9733025	Hafenbecken 4
62	6.9790391	50.9765159	Hafenbecken 3
63	6.9752026	50.9788601	Hafenbecken 2
64	6.971828	50.9811074	Hafenbecken 1
65	6.7486387	51.4547488	Sdhafen
66	6.7474146	51.4023256	Sdhafen
67	6.7372274	51.3961418	Hafen Rheinhausen
68	6.717189	51.3739556	Werkshafen HKM
69	6.7389436	51.3985362	
70	6.7486044	51.4070103	Kultushafen
71	6.7330588	51.3991521	DKT Duisburg Kombiterminal GmbH, Chemielogistik
72	6.6104595	51.6492575	
73	6.6141173	51.6345983	Rhein-Lippe-Hafen
74	7.4575353	51.6134529	Stummhafen
75	6.8444583	51.4403145	Nordhafen
76	6.7217388	51.51739	Sdhafen Walsum
77	6.7289409	51.5069655	Werkshafen Schwelgern
78	7.4955693	51.6023087	Stadthafen Lnen
79	7.644242	51.9511394	Stadthafen 1
80	7.0642001	51.5312407	Stadthafen
81	7.6442404	51.9509647	Stadthafen 1
82	8.9504057	52.3012489	Osthafen
83	8.9011404	52.3001835	Westhafen
84	8.9244992	52.3062324	Weserhafen
85	8.922901100000000	52.3072615	Weserhafen
86	6.6706256	51.3410774	Rheinhafen
87	7.2104881	51.5604795	Stadthafen
88	7.4925824	51.6026217	Stadthafen Lnen
89	6.7385788	51.4294749	Auáenhafen
90	6.7287546	51.4293579	Parallelhafen
91	6.8384591	51.4399711	Nordhafen
92	7.5020309	52.2950517	Kanalhafen
93	6.6059172	51.6510299	Stadthafen Wesel (Schutzhafen)
94	7.7632445	51.6751648	Westhafen
95	7.149341	51.548633	Am Westhafen
96	7.0726299	51.535997	Stadthafen
97	6.8383699	51.4399141	Nordhafen
98	7.7632447	51.6752153	Westhafen
99	6.7007369	51.2099303	Hafenbecken 3
